domain,L,response,predictor,predictor_label,rho,p,n
wolf2,10,f_temp,flow,Mean overland flow,0.26218793725434286,nan,1426
wolf2,10,f_temp,R_index,Overland depth / P,0.25220546764724583,nan,1426
wolf2,10,f_temp,wtd,Baseline WTD,-0.5373550362104597,nan,1426
wolf2,10,f_temp,recharge,Local recharge,-0.02674652843750034,nan,1426
wolf2,10,f_temp,E_proxy,1 − recharge/P,0.08774182581869067,nan,1426
wolf2,10,f_temp,dist_km,Dist. to stream,0.31316914421172953,nan,1426
wolf2,10,f_temp,log10_k_top,log₁₀ K (top),0.3048473571907174,nan,1426
wolf2,10,temporary,phi,Aridity φ (PET/P),-0.06542691490794152,nan,1426
wolf2,10,temporary,P_mm,Annual P,0.08698861639218214,nan,1426
wolf2,10,temporary,PET_mm,Hamon PET,-0.012033541612685448,nan,1426
wolf2,10,temporary,participation,Overland participation,-0.3698055403573295,nan,1426
wolf2,10,temporary,flow,Mean overland flow,-0.17053396752224304,nan,1426
wolf2,10,temporary,R_index,Overland depth / P,-0.1741528936425181,nan,1426
wolf2,10,temporary,wtd,Baseline WTD,0.05279404480826155,nan,1426
wolf2,10,temporary,recharge,Local recharge,-0.5027295425425634,nan,1426
wolf2,10,temporary,E_proxy,1 − recharge/P,0.6233853010068661,nan,1426
wolf2,10,temporary,dist_km,Dist. to stream,0.09109305302637359,nan,1426
wolf2,10,temporary,log10_k_top,log₁₀ K (top),-0.17411567369415282,nan,1426
wolf2,10,persistent,phi,Aridity φ (PET/P),0.20989023912130464,nan,1426
wolf2,10,persistent,P_mm,Annual P,-0.1550834678757839,nan,1426
wolf2,10,persistent,PET_mm,Hamon PET,0.21968485848199906,nan,1426
wolf2,10,persistent,participation,Overland participation,-0.5388364514023668,nan,1426
wolf2,10,persistent,flow,Mean overland flow,-0.3396858206387697,nan,1426
wolf2,10,persistent,R_index,Overland depth / P,-0.3319838612168521,nan,1426
wolf2,10,persistent,wtd,Baseline WTD,0.5042659227505021,nan,1426
wolf2,10,persistent,recharge,Local recharge,-0.3423047906768457,nan,1426
wolf2,10,persistent,E_proxy,1 − recharge/P,0.35043033496143017,nan,1426
wolf2,10,persistent,dist_km,Dist. to stream,-0.29633745507154646,nan,1426
wolf2,10,persistent,log10_k_top,log₁₀ K (top),-0.4176079965366495,nan,1426
wolf2,50,f_temp,phi,Aridity φ (PET/P),-0.06860914600361719,nan,1426
wolf2,50,f_temp,P_mm,Annual P,0.18375931100057113,nan,1426
wolf2,50,f_temp,PET_mm,Hamon PET,0.05414234302451084,nan,1426
wolf2,50,f_temp,participation,Overland participation,0.24901316390821665,nan,1426
wolf2,50,f_temp,flow,Mean overland flow,0.2996095122956652,nan,1426
wolf2,50,f_temp,R_index,Overland depth / P,0.2898565781184135,nan,1426
wolf2,50,f_temp,wtd,Baseline WTD,-0.5174122452243788,nan,1426
wolf2,50,f_temp,recharge,Local recharge,-0.05393002295881933,nan,1426
wolf2,50,f_temp,E_proxy,1 − recharge/P,0.10506808423051435,nan,1426
wolf2,50,f_temp,dist_km,Dist. to stream,0.16422229359655183,nan,1426
wolf2,50,f_temp,log10_k_top,log₁₀ K (top),0.2109794999050517,nan,1426
