n_active,wtd_p10,wtd_p50,wtd_p90,frac_wtd_2_20,frac_wtd_le2,frac_wtd_le5,n_shallow_le2,n_deep_ge15,stream_wtd_p10,stream_wtd_p50,frac_stream_wtd_le5,upland_wtd_p50,corridor_contrast,domain,source,huc,phi_mean,P_mean_mm,PET_mean_mm
1471,0.0,2.197559173076081,10.509529242472297,0.5078178110129163,0.4799456152277362,0.8116927260367097,706,61,0.6755592110757426,1.0435849157332995,1.0,5.000305128340136,3.9567202126068364,wolf2,late_spinup_yrs35-39_condensed,08010210,0.6267818845716271,1532.292599939762,959.5712798732221
3727,0.561983388026224,38.889809463723694,246.15493940384354,0.09793399517037832,0.3453179500939093,0.3984437885698954,1287,2125,0.038486632464212106,0.04492037793648933,1.0,119.02628821676811,118.98136783883162,potomac2,late_spinup_yrs35-39_condensed,02070001,0.9027598208861954,792.0670968196039,702.7260129919458
6459,0.052468019325806435,1.6248432737945677,28.627860177351156,0.2810032512772875,0.5541105434277752,0.6708468803220313,3579,1323,0.002855901538532635,0.01762439241721836,1.0,1.8340460643482857,1.8164216719310673,ponca,single_timestep_end:36dd864623b098abc78d56b2f42aaed3de93559fdebee0c9766579b54d55f561,10250003,1.626960963759325,437.69109543773715,702.50070096713
6459,0.011394579605359927,0.5251905011450617,9.055756596627361,0.1602415234556433,0.7971822263508282,0.8476544356711565,5149,356,0.0069168098254635876,0.021679690983148703,1.0,0.6159005173196874,0.5942208263365387,republican,single_timestep_end:7b83058dcd7b1dc5850d32afc4a850d6c49ba7d74bbda146a0745bc9739e65e8,10250003,1.2217110163214733,592.5441109645031,717.7475589992408
