huc8,site_id,i,j,sim_m3s,obs_lt,drain
01080101,01127880,4128,2533,1.0279851160395985,,6.36
01080101,01128500,4123,2526,2.5073464537390566,,83.0
01080101,01129200,4114,2517,8.070188395017036,16.584241768585617,254.0
01080101,01129440,4121,2501,1.4696403581786794,1.949296868698477,36.7
01080101,01129500,4110,2484,24.685883117684728,49.009351872858915,799.0
01080101,01130000,4124,2474,7.466199156318548,14.623014720583743,232.0
01080101,01131500,4115,2447,47.89606404618786,89.50977691674373,1514.0
01080101,01137500,4126,2435,5.020970139263246,6.467030989774053,87.6
01080101,01137940,4108,2421,11.369204919734921,21.949758207692664,288.0
01080101,01138000,4103,2415,14.510093390080758,,395.0
01080101,01138500,4100,2413,84.87254479201809,154.0182411890554,2644.0
01080201,01156500,4110,2261,235.71510209902,,6266.0
01080201,01157000,4120,2294,2.9136324999318455,4.2459081942287105,71.1
01080201,01158000,4118,2288,3.97274769950128,5.96288652752788,101.0
01080201,01158110,4122,2281,6.4255929233210285,6.244406208501186,115.0
01080201,01158500,4125,2287,1.8014497229677362,,42.3
01080201,01158600,4125,2285,1.9398437385771254,2.624517381217409,47.2
01080201,01159000,4132,2285,0.7345729740254026,,11.2
01080201,01159500,4128,2279,2.0757727284517196,,31.7
01080201,01159600,4124,2288,1.8014497229677362,,5.94
01080201,01160000,4133,2274,2.0757727284517196,1.970304418794921,36.0
01080201,01160350,4120,2275,14.741105992401488,17.165921373155363,316.0
01080201,01161000,4112,2263,18.56607341332447,22.463488212221318,420.0
01080201,01161280,4116,2252,256.7568943580803,393.27407105553357,6730.0
01080201,01170500,4111,2239,323.4714094250311,449.371461099595,7860.0
01080201,01170930,4113,2226,326.77889158372886,1.0024855770481125,20.7
01080201,01171300,4122,2218,1.2245319849182041,1.9132515766849012,41.5
01080201,01171500,4115,2212,3.2150982510722685,3.092755879925618,52.6
01080201,01171800,4109,2209,4.411512422533742,,5.56
01080201,01172000,4122,2201,350.70147314599774,,8309.0
01080201,01172003,4122,2201,350.70147314599774,360.49631485407025,8309.0
01080201,01172010,4122,2199,351.103579899474,480.4565020550686,8332.0
01090001,01100890,4226,2290,243.18479090089667,0.36703781700794186,6.62
01090001,01101000,4228,2299,1.2466926390838002,1.127687726236149,21.3
01090001,01101300,4222,2271,0.2879955822104452,,4.04
01090001,01101344,4220,2271,1.2255431895215005,1.0463180814634985,18.5
01090001,01101400,4224,2279,0.5929267293104308,0.7646312389517811,13.3
01090001,01101500,4230,2277,0.29165468427144603,2.157173962021665,44.5
01090001,01102000,4236,2289,3.95627281656957,5.921257536393431,125.0
01090001,01102029,4255,2295,0.011853624396482238,0.026344897405195834,0.55
01090001,011020308,4258,2293,0.02865853821523448,0.02499487596037852,0.53
01090001,01102065,4240,2271,1.0965111681596091,0.5636598901536932,10.7
01090001,01102345,4233,2266,1.3354946678166852,0.9126910337265612,20.8
01090001,01102500,4224,2261,2.986004303917163,1.0904779890904448,24.5
01090001,01103010,4224,2258,3.8631524627757976,1.0604756196716452,
01090001,01103025,4226,2257,3.9428059487976483,0.2947581272665558,8.36
01090001,01103038,4227,2260,4.7310252016658945,,
01090001,01103040,4228,2258,4.230089375729011,0.8702369443819302,
01090001,01103220,4216,2211,0.05929040017416454,0.029648434064133356,1.15
01090001,01103280,4217,2223,3.458937389950335,3.4227497457715144,65.7
01090001,01103305,4221,2221,5.029573145813492,,84.0
01090001,01103455,4220,2237,11.094786018625014,0.15872673627901746,3.72
01090001,01103500,4222,2236,11.608536498417868,9.24052728157226,183.0
01090001,01104000,4229,2243,6.782838612302349,2.1875186793826114,
01090001,01104200,4222,2243,13.740927836664845,8.634587080539497,211.0
01090001,01104370,4214,2254,15.43155207568462,0.4736781502188658,10.2
01090001,01104405,4219,2255,23.215271010999782,0.08348616774259009,2.16
01090001,01104410,4219,2255,23.215271010999782,0.0173563247369032,0.35
01090001,01104415,4220,2254,23.215271010999782,0.021263509997957446,0.41
01090001,01104420,4216,2256,0.04005520362235314,0.04511851540606272,0.73
01090001,01104430,4213,2255,15.43155207568462,0.3128581935128834,6.86
01090001,01104440,4216,2252,15.43155207568462,0.4279058180140281,8.47
01090001,01104453,4217,2251,15.43155207568462,0.09906065717508758,2.23
01090001,01104455,4217,2251,15.43155207568462,0.02701617240961218,0.48
01090001,01104460,4217,2251,15.43155207568462,1.1478554008874595,22.0
01090001,01104475,4218,2248,14.673964187768028,0.03609193071238474,0.85
01090001,01104480,4218,2249,15.312825964939504,0.6467741773631304,23.7
01090001,01104500,4219,2251,16.17792663541054,9.868286805586894,251.0
01090001,01104615,4223,2251,16.797263892191836,12.651840949891628,271.0
01090001,01104630,4226,2246,16.495940687552356,2.5346125612262567,0.36
01090001,01104640,4223,2251,16.797263892191836,0.07321387401445194,4.7
01090001,01104660,4226,2251,17.114229798997567,0.023801123263064276,1.5
01090001,01104687,4232,2248,7.615224291221978,0.3935721711919729,13.12
01090001,01104850,4224,2229,0.31859013145586884,0.21071639636391726,6.0
01090001,01105000,4228,2235,2.0129847345268588,1.82535592866936,34.7
01090001,01105500,4234,2229,2.0129847345268588,1.5484614649520128,27.2
01090001,01105554,4233,2237,5.581979385489973,5.051717359879198,83.7
01090001,01105557,4237,2244,0.14210331017716712,,3.81
01090001,01105583,4244,2239,1.1710499821932965,1.3574840931135013,28.7
01090001,01105585,4239,2247,0.3136144527701857,0.1557445897691015,4.11
01090001,01105600,4247,2240,0.24797453312370835,0.25573459220439154,4.5
01090001,01105606,4248,2242,0.5178750056330587,0.482247857479008,12.4
01090001,01105608,4248,2244,0.6043926510563176,0.19585830361753662,12.5
01090001,011056081,4248,2244,0.6043926510563176,0.48350826112148004,12.5
01090001,01105638,4249,2244,0.5370774443651933,0.7321707313344147,14.1
01090001,01105660,4256,2245,0.2558131822640061,,4.86
02020003,01326500,4003,2280,128.68296644087812,,2779.0
02020003,01327000,4007,2287,130.15928732799946,,
02020003,01327500,4016,2291,10.798823219778962,1.3494175267691715,
02020003,01327750,4012,2287,130.97435411814806,160.32733126486505,2810.0
02020003,01328000,4016,2291,10.798823219778962,,14.1
02020003,01328770,4018,2272,150.1171543183394,167.79820792128098,3000.0
02020003,01329000,4051,2276,9.755637823090925,,152.0
02020003,01329490,4031,2273,22.381525410395003,23.475690506126742,396.0
02020003,01329500,4031,2272,22.53882254999615,20.58216340446376,396.0
02020003,01329650,4020,2270,174.57042109414388,,3440.0
02020003,01330000,3997,2254,2.8259743992930297,1.1592666002124192,24.9
02020003,01330500,3996,2256,4.622772943813496,4.108174407111082,84.2
02020003,01331095,4019,2251,191.06199927885015,204.45295617848564,3773.0
02020003,01331400,4069,2226,3.407953240251317,,7.67
02020003,01331500,4068,2229,4.19251164436512,2.715900363377227,46.7
02020003,01332000,4069,2240,3.276049975286045,3.6589929684226816,40.9
02020003,01332500,4064,2238,10.832404319009804,8.30975889162198,126.0
02020003,01333000,4061,2237,2.7795800870129885,2.607911095590977,42.6
02020003,01333500,4047,2241,3.4267297802589525,2.8370262461707636,56.1
02020003,01334000,4050,2258,6.620456831064252,6.7369098946618315,111.0
02020003,01334500,4039,2258,34.163527770699844,30.114649766334672,510.0
02020003,01335000,4035,2258,36.55114585630208,,577.0
02020003,01335500,4018,2248,234.1478862609484,,4500.0
02020003,01335754,4021,2240,241.93065028474274,,4605.0
02020003,01358000,4020,2231,434.5774512896327,,8090.0
02040101,01421610,3956,2168,2.316906428773564,,16.0
02040101,01421614,3963,2169,0.040327443496847255,,0.76
02040101,01421618,3958,2166,2.316906428773564,0.8326099231939275,14.3
