domain,L,metric,kind,covar,covar_label,rho,p,n
potomac2,1,WTD,persistent,clay_frac,Clay fraction,-0.03915976242135194,0.018668081669825632,3607
potomac2,1,WTD,persistent,mannings,Mannings,0.0673970531536548,4.9769434091258453e-05,3615
potomac2,3,storage,temporary,dist_to_stream,Dist. to stream,0.06965948495520685,2.7631153511347125e-05,3613
potomac2,3,storage,temporary,HAND,HAND,-0.10789321348295432,7.620390917642413e-11,3613
potomac2,3,storage,temporary,rel_elev,Rel. elevation,-0.12188546828156892,1.8408950453459573e-13,3613
potomac2,3,storage,temporary,slope_mag,Slope,-0.057499052378162496,0.0005411709024304944,3615
potomac2,3,storage,temporary,baseline_WTD,Baseline WTD,-0.000623117876109446,0.9701267347116593,3615
potomac2,3,storage,temporary,local_recharge_base,Local recharge (base),-0.06820749640454403,4.031976692365765e-05,3615
potomac2,3,storage,temporary,PME_static,Static PME,-0.05250707929852757,0.0015854198748986106,3615
potomac2,3,storage,temporary,porosity_col,Porosity (col.),0.3489794700088687,3.011092039659013e-106,3615
potomac2,3,storage,temporary,log10_K_col,log₁₀ K (col.),0.019071664728274606,0.2516526523527691,3615
potomac2,3,storage,temporary,log10_K_top,log₁₀ K (top),-0.17628553084024678,9.47911013943454e-27,3615
potomac2,3,storage,temporary,flowbarrier_min,Flow barrier (min),0.02851223666166762,0.08651997885523771,3615
potomac2,3,storage,temporary,sand_frac,Sand fraction,-0.07822461197840432,2.529995728625774e-06,3607
potomac2,3,storage,temporary,clay_frac,Clay fraction,0.023833974757472953,0.1524004812073963,3607
potomac2,3,storage,temporary,mannings,Mannings,0.023149813449619652,0.16405856279097186,3615
potomac2,3,storage,persistent,dist_to_stream,Dist. to stream,-0.22467889322780207,6.375948710083513e-43,3613
potomac2,3,storage,persistent,HAND,HAND,-0.1437500225397887,3.4013598404848752e-18,3613
potomac2,3,storage,persistent,rel_elev,Rel. elevation,-0.16611591462119835,7.188411794111128e-24,3613
potomac2,3,storage,persistent,slope_mag,Slope,-0.1635628978774673,3.434561022934626e-23,3615
potomac2,3,storage,persistent,baseline_WTD,Baseline WTD,-0.11925683911883737,5.951119110598271e-13,3615
potomac2,3,storage,persistent,local_recharge_base,Local recharge (base),-0.16474826163998962,1.6450648772564726e-23,3615
potomac2,3,storage,persistent,PME_static,Static PME,-0.22717004257729487,6.762980288441602e-44,3615
potomac2,3,storage,persistent,porosity_col,Porosity (col.),0.2358956243595945,2.527834322157391e-47,3615
potomac2,3,storage,persistent,log10_K_col,log₁₀ K (col.),0.3891209281599518,1.4800697772018068e-134,3615
potomac2,3,storage,persistent,log10_K_top,log₁₀ K (top),-0.3726907322513168,1.929395430304443e-122,3615
potomac2,3,storage,persistent,flowbarrier_min,Flow barrier (min),-0.07104130329647629,1.8961524968040684e-05,3615
potomac2,3,storage,persistent,sand_frac,Sand fraction,-0.05568415505100198,0.0008187809214107297,3607
potomac2,3,storage,persistent,clay_frac,Clay fraction,-0.012183956754718707,0.46448624735821575,3607
potomac2,3,storage,persistent,mannings,Mannings,-0.018344797679562527,0.2701815699222175,3615
potomac2,3,WTD,temporary,dist_to_stream,Dist. to stream,0.3153898576681251,1.0778291541088811e-85,3613
potomac2,3,WTD,temporary,HAND,HAND,-0.1996295990693094,5.223639263042789e-34,3613
potomac2,3,WTD,temporary,rel_elev,Rel. elevation,-0.22820692005737123,2.845162678196699e-44,3613
potomac2,3,WTD,temporary,slope_mag,Slope,-0.2840964584029626,5.244866170563454e-69,3615
potomac2,3,WTD,temporary,baseline_WTD,Baseline WTD,-0.25753671543104695,1.8009723322585968e-56,3615
potomac2,3,WTD,temporary,local_recharge_base,Local recharge (base),-0.16802919815270997,2.0826358501977062e-24,3615
potomac2,3,WTD,temporary,PME_static,Static PME,0.02892854025025914,0.08201926833213076,3615
potomac2,3,WTD,temporary,porosity_col,Porosity (col.),0.14408272497328847,2.7810425498082675e-18,3615
potomac2,3,WTD,temporary,log10_K_col,log₁₀ K (col.),0.10862959652474106,5.5831156920885446e-11,3615
potomac2,3,WTD,temporary,log10_K_top,log₁₀ K (top),0.05508479612622069,0.0009198918698104415,3615
potomac2,3,WTD,temporary,flowbarrier_min,Flow barrier (min),0.44642490420296627,3.627579467484024e-183,3615
potomac2,3,WTD,temporary,sand_frac,Sand fraction,0.0688632667108397,3.46331672478376e-05,3607
potomac2,3,WTD,temporary,clay_frac,Clay fraction,0.038418898548721554,0.021024180546346617,3607
potomac2,3,WTD,temporary,mannings,Mannings,0.04458013118301023,0.007339391656133283,3615
potomac2,3,WTD,persistent,dist_to_stream,Dist. to stream,-0.030172632210469754,0.06976691086677396,3613
potomac2,3,WTD,persistent,HAND,HAND,0.11334986154655391,7.928990512033042e-12,3613
potomac2,3,WTD,persistent,rel_elev,Rel. elevation,0.10008907139292224,1.6006681716905584e-09,3613
potomac2,3,WTD,persistent,slope_mag,Slope,0.23174488703329613,1.1259654794309586e-45,3615
potomac2,3,WTD,persistent,baseline_WTD,Baseline WTD,0.17083546010162035,3.4358077774209236e-25,3615
